name,artists,daily_rank,country,snapshot_date,is_explicit,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,popularity
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",1,IE,2024-04-20,False,228965,0.675,0.397,-10.895,0.0245,0.499,5.85e-06,0.319,95.988,100
The Tortured Poets Department,Taylor Swift,2,IE,2024-04-20,True,293048,0.595,0.421,-8.377,0.0261,0.0518,1.56e-06,0.261,110.305,98
Too Sweet,Hozier,3,IE,2024-04-20,False,251424,0.741,0.62,-5.505,0.0412,0.0295,0.000809,0.934,117.038,96
"So Long, London",Taylor Swift,4,IE,2024-04-20,False,262974,0.488,0.545,-11.388,0.317,0.73,0.0046,0.301,160.096,94
My Boy Only Breaks His Favorite Toys,Taylor Swift,5,IE,2024-04-20,False,203801,0.593,0.582,-7.392,0.0285,0.165,0.0,0.436,97.079,92
Down Bad,Taylor Swift,6,IE,2024-04-20,True,261228,0.546,0.36,-10.383,0.0774,0.554,0.0,0.181,159.755,90
But Daddy I Love Him,Taylor Swift,7,IE,2024-04-20,True,340428,0.414,0.716,-7.639,0.134,0.388,0.0,0.448,79.274,88
Florida!!! (feat. Florence + The Machine),"Taylor Swift, Florence + The Machine",8,IE,2024-04-20,True,215463,0.524,0.568,-7.096,0.143,0.204,0.0,0.42,150.044,86
I Can Do It With a Broken Heart,Taylor Swift,9,IE,2024-04-20,True,218004,0.7,0.763,-8.29,0.0513,0.147,0.0,0.226,130.018,84
Who’s Afraid of Little Old Me?,Taylor Swift,10,IE,2024-04-20,False,334084,0.592,0.37,-10.488,0.0495,0.307,0.0,0.249,119.87,82
Guilty as Sin?,Taylor Swift,11,IE,2024-04-20,False,254365,0.625,0.421,-8.297,0.0265,0.614,0.0,0.435,94.977,80
Fresh Out The Slammer,Taylor Swift,12,IE,2024-04-20,False,210789,0.303,0.489,-9.357,0.0443,0.621,0.0,0.325,77.403,78
loml,Taylor Swift,13,IE,2024-04-20,True,277156,0.613,0.262,-12.547,0.0385,0.866,0.0,0.197,97.92,76
The Smallest Man Who Ever Lived,Taylor Swift,14,IE,2024-04-20,True,245541,0.476,0.411,-9.004,0.0639,0.524,0.0,0.297,142.252,74
I Can Fix Him (No Really I Can),Taylor Swift,15,IE,2024-04-20,False,156297,0.658,0.255,-13.969,0.0471,0.761,0.0,0.328,106.935,72
Espresso,Sabrina Carpenter,16,IE,2024-04-20,True,175459,0.701,0.771,-5.486,0.0293,0.133,1.17e-05,0.661,103.982,70
The Alchemy,Taylor Swift,17,IE,2024-04-20,False,196900,0.639,0.439,-8.656,0.0288,0.437,0.0,0.376,100.083,68
Stick Season,Noah Kahan,18,IE,2024-04-20,False,182346,0.662,0.488,-6.894,0.0682,0.782,0.0,0.817,117.913,66
Clara Bow,Taylor Swift,19,IE,2024-04-20,False,216662,0.675,0.328,-10.987,0.0264,0.644,0.00149,0.249,104.021,64
i like the way you kiss me,Artemas,20,IE,2024-04-20,False,142514,0.599,0.946,-4.263,0.0447,0.000938,0.0106,0.747,151.647,62
Beautiful Things,Benson Boone,21,IE,2024-04-20,False,180304,0.472,0.471,-5.692,0.0603,0.151,0.0,0.219,105.029,60
Belong Together,Mark Ambor,22,IE,2024-04-20,False,148317,0.646,0.668,-5.203,0.0282,0.491,0.0,0.64,90.969,58
Scared To Start,Michael Marcagi,23,IE,2024-04-20,False,159636,0.527,0.551,-11.258,0.0345,0.384,2.75e-06,0.443,148.035,56
Austin,Dasha,24,IE,2024-04-20,True,171782,0.756,0.672,-6.743,0.0522,0.464,3.37e-06,0.739,114.935,54
thanK you aIMee,Taylor Swift,25,IE,2024-04-20,True,263817,0.619,0.533,-7.994,0.0337,0.613,0.0,0.287,95.956,52
The Black Dog,Taylor Swift,26,IE,2024-04-20,True,238857,0.533,0.292,-10.63,0.0378,0.675,0.0,0.205,154.128,50
End of Beginning,Djo,27,IE,2024-04-20,False,159245,0.689,0.454,-7.643,0.0584,0.0351,0.00259,0.912,159.982,48
we can't be friends (wait for your love),Ariana Grande,28,IE,2024-04-20,False,228639,0.645,0.663,-8.305,0.0447,0.0657,3.18e-05,0.287,115.83,46
Lose Control,Teddy Swims,29,IE,2024-04-20,False,210688,0.561,0.604,-4.409,0.0337,0.199,1.9e-05,0.242,159.92,44
imgonnagetyouback,Taylor Swift,30,IE,2024-04-20,False,222072,0.785,0.4,-9.401,0.0642,0.639,0.0,0.143,110.025,42
TEXAS HOLD 'EM,Beyoncé,31,IE,2024-04-20,True,233456,0.727,0.711,-6.549,0.078,0.582,0.0,0.375,110.012,40
The Albatross,Taylor Swift,32,IE,2024-04-20,False,183878,0.479,0.48,-8.889,0.0426,0.68,0.0,0.308,171.962,38
So High School,Taylor Swift,33,IE,2024-04-20,False,228800,0.362,0.861,-4.558,0.0486,0.0333,2.15e-06,0.348,176.185,36
Chloe or Sam or Sophia or Marcus,Taylor Swift,34,IE,2024-04-20,False,213281,0.459,0.454,-8.487,0.05,0.784,0.0,0.265,70.391,34
Prada,"cassö, RAYE, D-Block Europe",35,IE,2024-04-20,True,132359,0.638,0.717,-5.804,0.0375,0.001,1.79e-06,0.422,141.904,32
Simmer Down,Casper Walsh,36,IE,2024-04-20,True,183101,0.826,0.8,-7.05,0.0748,0.0331,1.84e-05,0.757,135.041,30
How Did It End?,Taylor Swift,37,IE,2024-04-20,False,238706,0.434,0.387,-8.88,0.0273,0.808,0.0011,0.245,83.68,28
greedy,Tate McRae,38,IE,2024-04-20,True,131872,0.75,0.733,-3.18,0.0319,0.256,0.0,0.844,111.018,26
Tell Ur Girlfriend,Lay Bankz,39,IE,2024-04-20,True,124444,0.866,0.741,-4.66,0.245,0.0933,0.0,0.614,135.07,24
I Hate It Here,Taylor Swift,40,IE,2024-04-20,False,243875,0.378,0.564,-7.107,0.0355,0.763,0.0,0.267,104.977,22
The Prophecy,Taylor Swift,41,IE,2024-04-20,False,249807,0.434,0.52,-10.279,0.0486,0.828,1.6e-06,0.499,168.177,20
Cruel Summer,Taylor Swift,42,IE,2024-04-20,False,178426,0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.564,169.994,18
I Look in People's Windows,Taylor Swift,43,IE,2024-04-20,False,131907,0.762,0.268,-11.429,0.0648,0.692,0.0,0.382,90.835,16
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",44,IE,2024-04-20,False,227195,0.429,0.453,-7.746,0.0459,0.554,2e-06,0.155,77.639,14
Cassandra,Taylor Swift,45,IE,2024-04-20,True,240205,0.582,0.599,-9.811,0.0652,0.82,0.0,0.518,140.015,12
Peter,Taylor Swift,46,IE,2024-04-20,False,283957,0.348,0.394,-8.258,0.0412,0.767,0.0,0.264,178.199,10
"Good Luck, Babe!",Chappell Roan,47,IE,2024-04-20,False,218423,0.698,0.577,-5.858,0.0356,0.0495,0.0,0.799,116.719,8
The Bolter,Taylor Swift,48,IE,2024-04-20,True,238241,0.447,0.588,-7.95,0.0557,0.6,0.0,0.569,183.669,6
Unwritten,Natasha Bedingfield,49,IE,2024-04-20,False,259333,0.706,0.8,-6.333,0.0399,0.00584,0.0,0.629,100.011,4
A Bar Song (Tipsy),Shaboozey,50,IE,2024-04-20,True,171291,0.741,0.719,-5.192,0.0302,0.113,0.0,0.657,81.018,2
Too Sweet,Hozier,1,IE,2024-04-19,False,251424,0.741,0.62,-5.505,0.0412,0.0295,0.000809,0.934,117.038,100
Espresso,Sabrina Carpenter,2,IE,2024-04-19,True,175459,0.701,0.771,-5.486,0.0293,0.133,1.17e-05,0.661,103.982,98
Stick Season,Noah Kahan,3,IE,2024-04-19,False,182346,0.662,0.488,-6.894,0.0682,0.782,0.0,0.817,117.913,96
i like the way you kiss me,Artemas,4,IE,2024-04-19,False,142514,0.599,0.946,-4.263,0.0447,0.000938,0.0106,0.747,151.647,94
Beautiful Things,Benson Boone,5,IE,2024-04-19,False,180304,0.472,0.471,-5.692,0.0603,0.151,0.0,0.219,105.029,92
Scared To Start,Michael Marcagi,6,IE,2024-04-19,False,159636,0.527,0.551,-11.258,0.0345,0.384,2.75e-06,0.443,148.035,90
Belong Together,Mark Ambor,7,IE,2024-04-19,False,148317,0.646,0.668,-5.203,0.0282,0.491,0.0,0.64,90.969,88
End of Beginning,Djo,8,IE,2024-04-19,False,159245,0.689,0.454,-7.643,0.0584,0.0351,0.00259,0.912,159.982,86
Austin,Dasha,9,IE,2024-04-19,True,171782,0.756,0.672,-6.743,0.0522,0.464,3.37e-06,0.739,114.935,84
we can't be friends (wait for your love),Ariana Grande,10,IE,2024-04-19,False,228639,0.645,0.663,-8.305,0.0447,0.0657,3.18e-05,0.287,115.83,82
Lose Control,Teddy Swims,11,IE,2024-04-19,False,210688,0.561,0.604,-4.409,0.0337,0.199,1.9e-05,0.242,159.92,80
TEXAS HOLD 'EM,Beyoncé,12,IE,2024-04-19,True,233456,0.727,0.711,-6.549,0.078,0.582,0.0,0.375,110.012,78
greedy,Tate McRae,13,IE,2024-04-19,True,131872,0.75,0.733,-3.18,0.0319,0.256,0.0,0.844,111.018,76
Prada,"cassö, RAYE, D-Block Europe",14,IE,2024-04-19,True,132359,0.638,0.717,-5.804,0.0375,0.001,1.79e-06,0.422,141.904,74
Tell Ur Girlfriend,Lay Bankz,15,IE,2024-04-19,True,124444,0.866,0.741,-4.66,0.245,0.0933,0.0,0.614,135.07,72
Simmer Down,Casper Walsh,16,IE,2024-04-19,True,183101,0.826,0.8,-7.05,0.0748,0.0331,1.84e-05,0.757,135.041,70
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",17,IE,2024-04-19,False,227195,0.429,0.453,-7.746,0.0459,0.554,2e-06,0.155,77.639,68
"Good Luck, Babe!",Chappell Roan,18,IE,2024-04-19,False,218423,0.698,0.577,-5.858,0.0356,0.0495,0.0,0.799,116.719,66
Cruel Summer,Taylor Swift,19,IE,2024-04-19,False,178426,0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.564,169.994,64
