name,artists,daily_rank,country,snapshot_date,is_explicit,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,popularity
Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",1,IN,2024-04-19,False,250158,0.413,0.406,-10.23,0.0353,0.768,2.22e-06,0.281,76.944,100
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,2,IN,2024-04-19,False,171147,0.763,0.587,-8.299,0.0381,0.358,6.03e-06,0.794,106.977,98
"Illuminati - From ""Aavesham""","Sushin Shyam, Dabzee, Vinayak Sasikumar",3,IN,2024-04-19,False,212525,0.783,0.817,-5.94,0.124,0.232,3.2e-06,0.553,138.002,96
"Satranga (From ""ANIMAL"")","Arijit Singh, Shreyas Puranik, Siddharth - Garima",4,IN,2024-04-19,False,271169,0.273,0.405,-5.81,0.0298,0.735,0.0,0.534,89.48,94
"Naina (From ""Crew"")","Diljit Dosanjh, Badshah, Raj Ranjodh",5,IN,2024-04-19,False,180000,0.84,0.715,-5.141,0.187,0.176,0.0,0.542,96.98,92
Husn,Anuv Jain,6,IN,2024-04-19,False,217894,0.527,0.376,-9.974,0.0298,0.682,0.0,0.24,151.928,90
Soulmate,"Badshah, Arijit Singh",7,IN,2024-04-19,False,213599,0.747,0.458,-7.354,0.029,0.412,0.0,0.674,98.046,88
Bandana,Shubh,8,IN,2024-04-19,False,154666,0.716,0.718,-5.348,0.148,0.0452,0.0,0.91,89.906,86
"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Raghav, Tanishk Bagchi, Asees Kaur",9,IN,2024-04-19,False,153083,0.814,0.819,-3.585,0.0454,0.124,0.000245,0.661,96.979,84
O Maahi,"Pritam, Arijit Singh, Irshad Kamil",10,IN,2024-04-19,False,233453,0.616,0.669,-6.836,0.0349,0.562,0.0,0.475,116.973,82
Chaleya,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",11,IN,2024-04-19,False,200373,0.575,0.845,-5.28,0.0852,0.393,0.0107,0.439,95.047,80
Tu hai kahan,AUR,12,IN,2024-04-19,False,263184,0.708,0.356,-9.738,0.075,0.437,6.54e-05,0.569,83.679,78
Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Harrykahanhai",13,IN,2024-04-19,False,194857,0.728,0.494,-9.628,0.0256,0.516,0.00384,0.558,105.007,76
One Love,Shubh,14,IN,2024-04-19,False,159222,0.848,0.512,-7.757,0.118,0.284,0.00645,0.881,144.926,74
Gulabi Sadi,"Sanju Rathod, G-SPXRK",15,IN,2024-04-19,False,223347,0.568,0.616,-6.968,0.107,0.445,4.42e-05,0.61,127.95,72
Ve Haaniyaan,"Danny, Avvy Sra, Sagar",16,IN,2024-04-19,False,240000,0.786,0.54,-5.622,0.0264,0.824,4.31e-05,0.82,108.032,70
Apna Bana Le,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",17,IN,2024-04-19,False,261702,0.586,0.562,-7.399,0.0267,0.803,5.52e-06,0.436,93.982,68
