name,artists,daily_rank,country,snapshot_date,is_explicit,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,popularity
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",1,US,2024-04-20,False,228965,0.675,0.397,-10.895,0.0245,0.499,5.85e-06,0.319,95.988,100
The Tortured Poets Department,Taylor Swift,2,US,2024-04-20,True,293048,0.595,0.421,-8.377,0.0261,0.0518,1.56e-06,0.261,110.305,98
Down Bad,Taylor Swift,3,US,2024-04-20,True,261228,0.546,0.36,-10.383,0.0774,0.554,0.0,0.181,159.755,96
"So Long, London",Taylor Swift,4,US,2024-04-20,False,262974,0.488,0.545,-11.388,0.317,0.73,0.0046,0.301,160.096,94
My Boy Only Breaks His Favorite Toys,Taylor Swift,5,US,2024-04-20,False,203801,0.593,0.582,-7.392,0.0285,0.165,0.0,0.436,97.079,92
But Daddy I Love Him,Taylor Swift,6,US,2024-04-20,True,340428,0.414,0.716,-7.639,0.134,0.388,0.0,0.448,79.274,90
Florida!!! (feat. Florence + The Machine),"Taylor Swift, Florence + The Machine",7,US,2024-04-20,True,215463,0.524,0.568,-7.096,0.143,0.204,0.0,0.42,150.044,88
I Can Do It With a Broken Heart,Taylor Swift,8,US,2024-04-20,True,218004,0.7,0.763,-8.29,0.0513,0.147,0.0,0.226,130.018,86
Who’s Afraid of Little Old Me?,Taylor Swift,9,US,2024-04-20,False,334084,0.592,0.37,-10.488,0.0495,0.307,0.0,0.249,119.87,84
Fresh Out The Slammer,Taylor Swift,10,US,2024-04-20,False,210789,0.303,0.489,-9.357,0.0443,0.621,0.0,0.325,77.403,82
Guilty as Sin?,Taylor Swift,11,US,2024-04-20,False,254365,0.625,0.421,-8.297,0.0265,0.614,0.0,0.435,94.977,80
loml,Taylor Swift,12,US,2024-04-20,True,277156,0.613,0.262,-12.547,0.0385,0.866,0.0,0.197,97.92,78
The Alchemy,Taylor Swift,13,US,2024-04-20,False,196900,0.639,0.439,-8.656,0.0288,0.437,0.0,0.376,100.083,76
I Can Fix Him (No Really I Can),Taylor Swift,14,US,2024-04-20,False,156297,0.658,0.255,-13.969,0.0471,0.761,0.0,0.328,106.935,74
The Smallest Man Who Ever Lived,Taylor Swift,15,US,2024-04-20,True,245541,0.476,0.411,-9.004,0.0639,0.524,0.0,0.297,142.252,72
Clara Bow,Taylor Swift,16,US,2024-04-20,False,216662,0.675,0.328,-10.987,0.0264,0.644,0.00149,0.249,104.021,70
thanK you aIMee,Taylor Swift,17,US,2024-04-20,True,263817,0.619,0.533,-7.994,0.0337,0.613,0.0,0.287,95.956,68
The Black Dog,Taylor Swift,18,US,2024-04-20,True,238857,0.533,0.292,-10.63,0.0378,0.675,0.0,0.205,154.128,66
imgonnagetyouback,Taylor Swift,19,US,2024-04-20,False,222072,0.785,0.4,-9.401,0.0642,0.639,0.0,0.143,110.025,64
So High School,Taylor Swift,20,US,2024-04-20,False,228800,0.362,0.861,-4.558,0.0486,0.0333,2.15e-06,0.348,176.185,62
The Albatross,Taylor Swift,21,US,2024-04-20,False,183878,0.479,0.48,-8.889,0.0426,0.68,0.0,0.308,171.962,60
Chloe or Sam or Sophia or Marcus,Taylor Swift,22,US,2024-04-20,False,213281,0.459,0.454,-8.487,0.05,0.784,0.0,0.265,70.391,58
